sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria
02.03.1011	MASSA CONGELADA DE PÃO DE CEBOLA CAIXA 4X2,5KG 10KG	31x39x23	0.1209	10.45	LASTRO 10x7 = 70	70	D
02.03.1012	MASSA CONGELADA DE PÃO DE BATATA CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1013	MASSA CONGELADA DE PÃO DA FAZENDA CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1014	MASSA CONGELADA DE HOT DOG CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1015	MASSA CONG. DE PÃO DE HAMBURGUÉR CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1016	MASSA CONG.DE FORROZINHO C/CREME E CHOC. CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1017	MASSA CONG. DE FORROZINHO C/CREME E COCO CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.04.0001	MASSA CONGELADA DE PAO FRANCES BOLA RAPIDA - 5KG	PCT			10X7 = 70	70	C
02.03.1018	CROISSANT TRADICIONAL DE MASSA FOLHADA PREFERMENTADO CONGELADO 70G - 1 PCT DE 3,50KG	CX				70	D
01.06.0027	PAO DE 3 CHOCOLATES - 10 UN - 3KG	CX				70	D
01.06.0030	MINI BAGUETE RUSTICA TRADICIONAL - CX 5KG - 2 UN DE 2,5KG	CX				70	C
01.10.0015	CIABATTA COM GRÃOSL LEVIASSA- PT 0,220 KG- CX 2,64 KG- 12 UN	CX				70	C
