FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
201	01.10.0014	CIABATTA TRADICIONAL LEVIASSA- PT 0,220 KG- CX 2,64 KG- 12 UN	7898694172621	PT	27898694172625	CAIXA
201	02.01.0004	PAO DE QUEIJO FORNO DE MINAS ASSADO CONGELADO RECHEADO REQUEIJAO MAX LANCHE	7896074605974	-	17896074605971	CAIXA
201	02.01.0005	PAO DE QUEIJO FORNO DE MINAS ASSADO CONGELADO MAX LANCHE	7896074605141	-	17896074605148	CAIXA
201	02.01.0007	MASSA CONGELADA DE PALITO 3 QUEIJOS - CX 12 KG - PT 06 UN	7898958973391	-	17898958973398	CAIXA
201	02.02.0028	ESPETO DE FRANGO FRITO 90G - CX 40 UN	7898688691244	-	17898688691241	CAIXA
201	02.02.0029	RISOLES LAMINADO FRITO DE FRANGO 150G	7898602744001	-	17898602744008	CAIXA
201	02.02.0030	RISOLES LAMINADO FRITO DE CARNE 150G	7898602744018	-	17898602744015	CAIXA
201	02.02.0031	EMPADA DE FRANGO COM REQUEIJÃO - CX 8 KG - PT 04 UN	7898958973711	-	17898958973712	CAIXA
201	02.02.0032	MASSA CONGELADA DE CROISSANT DE 3 QUEIJOS - CX 11 KG - PT 05 UN	7898663032789	-	17898663032786	CAIXA
201	02.02.0033	MASSA CONGELADA DE CROISSANT DE CHOCOLATE - CX 11 KG - PT 05 UN	7898663031911	-	17898663031918	CAIXA
201	02.02.0034	MASSA CONGELADA DE CROISSANT DE FRANGO COM REQUEIJAO - CX 11 KG - PT 05 UN	7898663031928	-	17898663031925	CAIXA
201	02.02.0035	MASSA CONGELADA DE CROISSANT DE QUEIJO E PRESUNTO FATIADO - CX 11 KG - PT 05 UN	7898663032796	-	17898663032793	CAIXA
201	02.02.0036	MASSA CONGELADA DE CROISSANT SEM RECHEIO - CX 12 KG - PT 06 UN	7898958973971	-	17898958973978	CAIXA
201	02.03.0001	PAO DE SONHO CONGELADO - CX 2,5KG	7898957727193	-	17898957727190	CAIXA
